regime,query,channel,debt,ci_low,ci_high,probability_harmful,rank_1_probability
seasonal,aov_segment,value_noise,0.06258863688890728,0.059492576499854774,0.06581594450020066,1.0,1.0
seasonal,aov_segment,orphan_foreign_keys,0.0016406271722318978,0.0009051393945289667,0.0023452576418240578,1.0,0.0
seasonal,aov_segment,duplicate_facts,0.001244228260253598,0.00027402087692409756,0.002298525036845705,0.998,0.0
seasonal,aov_segment,missing_measures,0.000887144504594149,0.00025552846221807337,0.0016480758002871472,0.997,0.0
seasonal,aov_segment,stale_timestamps,0.0,0.0,0.0,0.0,0.0
seasonal,aov_segment,dimension_drift,0.0,0.0,0.0,0.0,0.0
seasonal,customers_region,dimension_drift,0.022666666666666647,0.019200000000000016,0.02603416666666665,1.0,1.0
seasonal,customers_region,missing_measures,0.0,0.0,0.0,0.0,0.0
seasonal,customers_region,value_noise,0.0,0.0,0.0,0.0,0.0
seasonal,customers_region,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
seasonal,customers_region,stale_timestamps,0.0,0.0,0.0,0.0,0.0
seasonal,customers_region,duplicate_facts,0.0,0.0,0.0,0.0,0.0
seasonal,daily_revenue,stale_timestamps,0.0828595355249306,0.08146187956906445,0.08413537495911334,1.0,1.0
seasonal,daily_revenue,value_noise,0.03334762149974451,0.03177466987331352,0.03464501568372723,1.0,0.0
seasonal,daily_revenue,duplicate_facts,0.026420545071292736,0.025624832886104062,0.02723055821058682,1.0,0.0
seasonal,daily_revenue,missing_measures,0.0166648479711358,0.01583611511714296,0.01752302784071097,1.0,0.0
seasonal,daily_revenue,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
seasonal,daily_revenue,dimension_drift,0.0,0.0,0.0,0.0,0.0
seasonal,orders_status,duplicate_facts,0.09999999999999992,0.09999999999999991,0.09999999999999991,1.0,1.0
seasonal,orders_status,missing_measures,0.0,0.0,0.0,0.0,0.0
seasonal,orders_status,value_noise,0.0,0.0,0.0,0.0,0.0
seasonal,orders_status,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
seasonal,orders_status,stale_timestamps,0.0,0.0,0.0,0.0,0.0
seasonal,orders_status,dimension_drift,0.0,0.0,0.0,0.0,0.0
seasonal,refund_region,dimension_drift,0.007341047214167232,0.005812961991221258,0.00906280630512624,1.0,1.0
seasonal,refund_region,orphan_foreign_keys,0.004941420192457798,0.003674300373101409,0.006146952128119239,1.0,0.0
seasonal,refund_region,duplicate_facts,0.0025438859040778903,0.0011964720824899399,0.004002572204702811,1.0,0.0
seasonal,refund_region,missing_measures,0.0,0.0,0.0,0.0,0.0
seasonal,refund_region,value_noise,0.0,0.0,0.0,0.0,0.0
seasonal,refund_region,stale_timestamps,0.0,0.0,0.0,0.0,0.0
seasonal,revenue_category,duplicate_facts,0.03941146126766139,0.0379388673993648,0.04077297624091189,1.0,1.0
seasonal,revenue_category,value_noise,0.037407610203352246,0.03588246041945567,0.03870084877877917,1.0,0.0
seasonal,revenue_category,stale_timestamps,0.0,0.0,0.0,0.0,0.0
seasonal,revenue_category,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
seasonal,revenue_category,dimension_drift,0.0,0.0,0.0,0.0,0.0
seasonal,revenue_category,missing_measures,-0.02396103532642208,-0.02467638058429474,-0.023086806062242123,0.0,0.0
seasonal,revenue_month,stale_timestamps,0.0698138503471768,0.06827198400141922,0.07131285307227524,1.0,1.0
seasonal,revenue_month,value_noise,0.019915394812599425,0.018672710936904157,0.021043354917270933,1.0,0.0
seasonal,revenue_month,duplicate_facts,0.019088495941309847,0.01779764702794859,0.02008581621614432,1.0,0.0
seasonal,revenue_month,missing_measures,0.0006609527714573332,-0.0005962159624346013,0.0020313438644811214,0.84,0.0
seasonal,revenue_month,orphan_foreign_keys,0.0,0.0,0.0,0.0,0.0
seasonal,revenue_month,dimension_drift,0.0,0.0,0.0,0.0,0.0
seasonal,revenue_region,orphan_foreign_keys,0.028431939061395007,0.027007242682162258,0.03003668587152492,1.0,0.759
seasonal,revenue_region,missing_measures,0.0283112655718395,0.0267000835177535,0.02997732199796681,1.0,0.241
seasonal,revenue_region,dimension_drift,0.005512745613570714,0.004564554737596205,0.006485505289871756,1.0,0.0
