regime,channel,debt,ci_low,ci_high,probability_harmful,rank_1_probability
uniform,duplicate_facts,0.022717441841251906,0.022174048706519248,0.023288674826128893,1.0,1.0
uniform,value_noise,0.019410405992803116,0.01834724806706321,0.02052270053710319,1.0,0.0
uniform,stale_timestamps,0.018737328514040252,0.01839593291850351,0.019045670064283378,1.0,0.0
uniform,orphan_foreign_keys,0.004306863123171823,0.004000614380342002,0.004599755532605217,1.0,0.0
uniform,dimension_drift,0.004114475188722782,0.0033374292989967282,0.005118218743476527,1.0,0.0
uniform,missing_measures,0.002656746462135289,0.0021156362787291606,0.0031887752723060285,1.0,0.0
skewed,duplicate_facts,0.023915717074524688,0.023170779244622536,0.024600997249466013,1.0,0.947
skewed,value_noise,0.019783631067671028,0.01892807623848548,0.02061713257855594,1.0,0.0
skewed,stale_timestamps,0.018946487879640206,0.018680693855313554,0.01921980694213477,1.0,0.0
skewed,dimension_drift,0.017663180863829172,0.010620875119829457,0.025554352126693852,1.0,0.053
skewed,orphan_foreign_keys,0.005710289322281593,0.005116855277522105,0.006270021827735947,1.0,0.0
skewed,missing_measures,0.0023865746819708277,0.0017733551115982809,0.003034938893401625,1.0,0.0
seasonal,duplicate_facts,0.022574166248423573,0.02201813480261127,0.02316136037495354,1.0,1.0
seasonal,stale_timestamps,0.019084173234013416,0.018741384522574445,0.019438424020921607,1.0,0.0
seasonal,value_noise,0.018960482915119137,0.018183115698016457,0.019668071495395612,1.0,0.0
seasonal,dimension_drift,0.004440057436800578,0.0038911215308882917,0.004991514270653542,1.0,0.0
seasonal,orphan_foreign_keys,0.004376748303260586,0.004172792167597404,0.004580201700216555,1.0,0.0
seasonal,missing_measures,0.0028203969365755838,0.0022669643039189167,0.003401064978781521,1.0,0.0
