regime,left,right,interaction
uniform,value_noise,duplicate_facts,0.01925240031821752
uniform,missing_measures,orphan_foreign_keys,0.010709265219148332
uniform,missing_measures,stale_timestamps,0.006692974951255136
uniform,stale_timestamps,dimension_drift,3.267062546422987e-18
uniform,orphan_foreign_keys,stale_timestamps,-2.529805069132843e-18
uniform,missing_measures,dimension_drift,-0.0005881150371695641
uniform,dimension_drift,duplicate_facts,-0.0006675107986367671
uniform,value_noise,dimension_drift,-0.000835287832285697
uniform,orphan_foreign_keys,dimension_drift,-0.0012144853493539706
uniform,value_noise,stale_timestamps,-0.00830333320892706
uniform,value_noise,orphan_foreign_keys,-0.009294717062054755
uniform,stale_timestamps,duplicate_facts,-0.012033310699043037
uniform,orphan_foreign_keys,duplicate_facts,-0.013785402183279852
uniform,missing_measures,value_noise,-0.034779448340633484
uniform,missing_measures,duplicate_facts,-0.05867679679162163
skewed,value_noise,duplicate_facts,0.01890665020412467
skewed,missing_measures,orphan_foreign_keys,0.00855367332850463
skewed,missing_measures,stale_timestamps,0.006878844511363565
skewed,dimension_drift,duplicate_facts,0.00026225171900795085
skewed,stale_timestamps,dimension_drift,8.904913843347612e-18
skewed,orphan_foreign_keys,stale_timestamps,4.857225732735061e-18
skewed,value_noise,dimension_drift,-0.0002407578997906572
skewed,missing_measures,dimension_drift,-0.0022423122837727616
skewed,orphan_foreign_keys,dimension_drift,-0.004646621939157759
skewed,value_noise,orphan_foreign_keys,-0.008023815494315845
skewed,value_noise,stale_timestamps,-0.008036903951235108
skewed,orphan_foreign_keys,duplicate_facts,-0.011835319132718073
skewed,stale_timestamps,duplicate_facts,-0.012142357381748198
skewed,missing_measures,value_noise,-0.033752535121016905
skewed,missing_measures,duplicate_facts,-0.05690703180399608
seasonal,value_noise,duplicate_facts,0.019133766618691275
seasonal,missing_measures,orphan_foreign_keys,0.010655659290419303
seasonal,missing_measures,stale_timestamps,0.006562993446620159
seasonal,orphan_foreign_keys,stale_timestamps,-1.5901631863120743e-19
seasonal,stale_timestamps,dimension_drift,-2.5442610980993173e-18
seasonal,missing_measures,dimension_drift,-0.0007096419962886173
seasonal,dimension_drift,duplicate_facts,-0.000841584895418147
seasonal,value_noise,dimension_drift,-0.0009631164422043938
seasonal,orphan_foreign_keys,dimension_drift,-0.0010597123052645244
seasonal,value_noise,stale_timestamps,-0.00833448024960316
seasonal,value_noise,orphan_foreign_keys,-0.009214173668472304
seasonal,stale_timestamps,duplicate_facts,-0.011999477149299172
seasonal,orphan_foreign_keys,duplicate_facts,-0.013738515987695111
seasonal,missing_measures,value_noise,-0.03424470663246519
seasonal,missing_measures,duplicate_facts,-0.058973307019870226
