setting,dataset,model,channel,debt,ci_low,ci_high,probability_harmful,rank_1_probability
breast_cancer__logistic,breast_cancer,logistic,target_noise,0.02497563352826511,0.018884015594541906,0.03127132066276802,1.0,0.9825
breast_cancer__logistic,breast_cancer,logistic,feature_noise,0.013036062378167639,0.007390147823261853,0.019494192657569843,1.0,0.0175
breast_cancer__logistic,breast_cancer,logistic,duplicate_rows,0.000527940220922677,-0.0018691114359973985,0.0030458089668615957,0.6505,0.0
breast_cancer__logistic,breast_cancer,logistic,missing_cells,-0.0005279402209226757,-0.004469217024041585,0.003492527615334635,0.398,0.0
breast_cancer__forest,breast_cancer,forest,missing_cells,0.004995126705653021,0.0019087069525666044,0.008203378817413905,0.9995,0.683
breast_cancer__forest,breast_cancer,forest,target_noise,0.0033706952566601714,-0.0027209226770630304,0.009096816114359968,0.867,0.2645
breast_cancer__forest,breast_cancer,forest,feature_noise,0.0014213775178687463,-0.0017056530214424918,0.00450779727095516,0.805,0.0475
breast_cancer__forest,breast_cancer,forest,duplicate_rows,0.0014213775178687437,-0.0011371020142949967,0.0037372076023391826,0.872,0.005
wine__logistic,wine,logistic,target_noise,0.043981481481481476,0.027777777777777787,0.0605742026748971,1.0,0.9975
wine__logistic,wine,logistic,feature_noise,0.016203703703703703,0.0025720164609053433,0.030867412551440307,0.991,0.0025
wine__logistic,wine,logistic,missing_cells,0.00282921810699588,-0.005015432098765433,0.009905478395061711,0.762,0.0
wine__logistic,wine,logistic,duplicate_rows,0.0018004115226337438,-0.003215020576131679,0.006687242798353911,0.738,0.0
wine__forest,wine,forest,target_noise,0.009130658436213992,0.00411522633744856,0.015560699588477361,1.0,0.7825
wine__forest,wine,forest,missing_cells,0.005015432098765429,-1.4121733296623647e-18,0.010805684156378587,0.971,0.1455
wine__forest,wine,forest,feature_noise,0.003986625514403287,-0.0009002057613168714,0.009645061728395058,0.9355,0.072
wine__forest,wine,forest,duplicate_rows,-0.0011574074074074086,-0.0048868312757201614,0.002700617283950615,0.2735,0.0
diabetes__ridge,diabetes,ridge,feature_noise,0.03634931479114668,0.0276826098567643,0.04411085937936504,1.0,1.0
diabetes__ridge,diabetes,ridge,target_noise,0.0046481568494913614,0.0017461161229992332,0.007406065532542793,0.9985,0.0
diabetes__ridge,diabetes,ridge,duplicate_rows,0.0011115484999220011,-0.0011132517622543512,0.0032409966571996735,0.838,0.0
diabetes__ridge,diabetes,ridge,missing_cells,7.493072490612814e-06,-0.0022088342344906706,0.002226279371406532,0.5075,0.0
diabetes__forest,diabetes,forest,feature_noise,0.0064690721736732765,0.004247415010764082,0.008535676610950609,1.0,0.5925
diabetes__forest,diabetes,forest,target_noise,0.005804376490964847,0.0005350142208930361,0.010791186163120801,0.986,0.407
diabetes__forest,diabetes,forest,duplicate_rows,0.0018664075363677192,-3.1368825199547774e-05,0.0035792092101187725,0.9725,0.0
diabetes__forest,diabetes,forest,missing_cells,9.487848506682664e-05,-0.003100846726808464,0.0036037720905258085,0.4945,0.0005
synthetic_nonlinear__logistic,synthetic_nonlinear,logistic,missing_cells,0.0023148148148147973,-0.0005922067901234861,0.00527263374485595,0.9355,0.5475
synthetic_nonlinear__logistic,synthetic_nonlinear,logistic,duplicate_rows,0.0010288065843621537,-0.0012602880658436437,0.003189300411522619,0.815,0.1395
synthetic_nonlinear__logistic,synthetic_nonlinear,logistic,target_noise,0.0009773662551440334,-0.005478395061728374,0.006688528806584366,0.613,0.313
synthetic_nonlinear__logistic,synthetic_nonlinear,logistic,feature_noise,-0.017592592592592604,-0.02356224279835392,-0.011598508230452694,0.0,0.0
synthetic_nonlinear__forest,synthetic_nonlinear,forest,feature_noise,0.03323045267489713,0.026799768518518514,0.03991962448559671,1.0,0.991
synthetic_nonlinear__forest,synthetic_nonlinear,forest,missing_cells,0.02397119341563787,0.017592592592592615,0.030042438271604955,1.0,0.003
synthetic_nonlinear__forest,synthetic_nonlinear,forest,target_noise,0.016358024691358053,0.009025848765432089,0.024177597736625474,1.0,0.006
synthetic_nonlinear__forest,synthetic_nonlinear,forest,duplicate_rows,-0.0007201646090535043,-0.003961548353909477,0.00221257716049384,0.323,0.0
