setting,dataset,model,repeat,coalition,coalition_key,coalition_size,loss,train_rows
breast_cancer__logistic,breast_cancer,logistic,0,EMPTY,EMPTY,0,0.017543859649122806,398
breast_cancer__logistic,breast_cancer,logistic,0,missing_cells,missing_cells,1,0.029239766081871343,398
breast_cancer__logistic,breast_cancer,logistic,0,feature_noise,feature_noise,1,0.04678362573099415,398
breast_cancer__logistic,breast_cancer,logistic,0,target_noise,target_noise,1,0.05847953216374269,398
breast_cancer__logistic,breast_cancer,logistic,0,duplicate_rows,duplicate_rows,1,0.017543859649122806,458
breast_cancer__logistic,breast_cancer,logistic,0,feature_noise|missing_cells,feature_noise|missing_cells,2,0.04093567251461988,398
breast_cancer__logistic,breast_cancer,logistic,0,missing_cells|target_noise,missing_cells|target_noise,2,0.06432748538011696,398
breast_cancer__logistic,breast_cancer,logistic,0,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.029239766081871343,458
breast_cancer__logistic,breast_cancer,logistic,0,feature_noise|target_noise,feature_noise|target_noise,2,0.08771929824561403,398
breast_cancer__logistic,breast_cancer,logistic,0,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,0,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.05263157894736842,458
breast_cancer__logistic,breast_cancer,logistic,0,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.05847953216374269,398
breast_cancer__logistic,breast_cancer,logistic,0,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,0,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.04678362573099415,458
breast_cancer__logistic,breast_cancer,logistic,0,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.05847953216374269,458
breast_cancer__logistic,breast_cancer,logistic,0,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.05263157894736842,458
breast_cancer__logistic,breast_cancer,logistic,1,EMPTY,EMPTY,0,0.017543859649122806,398
breast_cancer__logistic,breast_cancer,logistic,1,missing_cells,missing_cells,1,0.017543859649122806,398
breast_cancer__logistic,breast_cancer,logistic,1,feature_noise,feature_noise,1,0.03508771929824561,398
breast_cancer__logistic,breast_cancer,logistic,1,target_noise,target_noise,1,0.05847953216374269,398
breast_cancer__logistic,breast_cancer,logistic,1,duplicate_rows,duplicate_rows,1,0.017543859649122806,458
breast_cancer__logistic,breast_cancer,logistic,1,feature_noise|missing_cells,feature_noise|missing_cells,2,0.029239766081871343,398
breast_cancer__logistic,breast_cancer,logistic,1,missing_cells|target_noise,missing_cells|target_noise,2,0.03508771929824561,398
breast_cancer__logistic,breast_cancer,logistic,1,duplicate_rows|missing_cells,duplicate_rows|missing_cells,2,0.029239766081871343,458
breast_cancer__logistic,breast_cancer,logistic,1,feature_noise|target_noise,feature_noise|target_noise,2,0.04678362573099415,398
breast_cancer__logistic,breast_cancer,logistic,1,duplicate_rows|feature_noise,duplicate_rows|feature_noise,2,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,1,duplicate_rows|target_noise,duplicate_rows|target_noise,2,0.05847953216374269,458
breast_cancer__logistic,breast_cancer,logistic,1,feature_noise|missing_cells|target_noise,feature_noise|missing_cells|target_noise,3,0.04093567251461988,398
breast_cancer__logistic,breast_cancer,logistic,1,duplicate_rows|feature_noise|missing_cells,duplicate_rows|feature_noise|missing_cells,3,0.029239766081871343,458
breast_cancer__logistic,breast_cancer,logistic,1,duplicate_rows|missing_cells|target_noise,duplicate_rows|missing_cells|target_noise,3,0.04093567251461988,458
breast_cancer__logistic,breast_cancer,logistic,1,duplicate_rows|feature_noise|target_noise,duplicate_rows|feature_noise|target_noise,3,0.05847953216374269,458
breast_cancer__logistic,breast_cancer,logistic,1,duplicate_rows|feature_noise|missing_cells|target_noise,duplicate_rows|feature_noise|missing_cells|target_noise,4,0.05263157894736842,458
breast_cancer__logistic,breast_cancer,logistic,2,EMPTY,EMPTY,0,0.029239766081871343,398
breast_cancer__logistic,breast_cancer,logistic,2,missing_cells,missing_cells,1,0.029239766081871343,398
