setting,left,right,interaction,pair
breast_cancer__logistic,missing_cells,feature_noise,0.0033300844704353457,missing_cells+feature_noise
breast_cancer__logistic,missing_cells,duplicate_rows,0.0006497725795971398,missing_cells+duplicate_rows
breast_cancer__logistic,target_noise,duplicate_rows,-0.0003248862897985717,target_noise+duplicate_rows
breast_cancer__logistic,feature_noise,duplicate_rows,-0.0012995451591942795,feature_noise+duplicate_rows
breast_cancer__logistic,missing_cells,target_noise,-0.0030051981806367744,missing_cells+target_noise
breast_cancer__logistic,feature_noise,target_noise,-0.014213775178687466,feature_noise+target_noise
breast_cancer__forest,target_noise,duplicate_rows,0.0038986354775828506,target_noise+duplicate_rows
breast_cancer__forest,missing_cells,duplicate_rows,0.0014619883040935646,missing_cells+duplicate_rows
breast_cancer__forest,missing_cells,target_noise,-2.3852447794681098e-18,missing_cells+target_noise
breast_cancer__forest,feature_noise,duplicate_rows,-0.0009746588693957136,feature_noise+duplicate_rows
breast_cancer__forest,missing_cells,feature_noise,-0.001949317738791432,missing_cells+feature_noise
breast_cancer__forest,feature_noise,target_noise,-0.002436647173489281,feature_noise+target_noise
wine__logistic,target_noise,duplicate_rows,0.002057613168724281,target_noise+duplicate_rows
wine__logistic,missing_cells,target_noise,-0.00025720164609053554,missing_cells+target_noise
wine__logistic,missing_cells,duplicate_rows,-0.00180041152263375,missing_cells+duplicate_rows
wine__logistic,feature_noise,duplicate_rows,-0.0033436213991769534,feature_noise+duplicate_rows
wine__logistic,missing_cells,feature_noise,-0.008744855967078182,missing_cells+feature_noise
wine__logistic,feature_noise,target_noise,-0.02031893004115226,feature_noise+target_noise
wine__forest,missing_cells,target_noise,0.0007716049382716053,missing_cells+target_noise
wine__forest,feature_noise,target_noise,-0.0007716049382716077,feature_noise+target_noise
wine__forest,target_noise,duplicate_rows,-0.0030864197530864274,target_noise+duplicate_rows
wine__forest,missing_cells,duplicate_rows,-0.003858024691358027,missing_cells+duplicate_rows
wine__forest,missing_cells,feature_noise,-0.00462962962962963,missing_cells+feature_noise
wine__forest,feature_noise,duplicate_rows,-0.00540123456790124,feature_noise+duplicate_rows
diabetes__ridge,target_noise,duplicate_rows,0.0020452202346429764,target_noise+duplicate_rows
diabetes__ridge,missing_cells,duplicate_rows,0.00035911011218410965,missing_cells+duplicate_rows
diabetes__ridge,missing_cells,target_noise,0.00019418327776853556,missing_cells+target_noise
diabetes__ridge,feature_noise,duplicate_rows,-0.00011525531786194904,feature_noise+duplicate_rows
diabetes__ridge,feature_noise,target_noise,-0.0002497179102635509,feature_noise+target_noise
diabetes__ridge,missing_cells,feature_noise,-0.009550860298633177,missing_cells+feature_noise
diabetes__forest,target_noise,duplicate_rows,0.002509931976893818,target_noise+duplicate_rows
diabetes__forest,missing_cells,feature_noise,0.0008563278456668969,missing_cells+feature_noise
diabetes__forest,missing_cells,duplicate_rows,0.00019154642780051345,missing_cells+duplicate_rows
diabetes__forest,missing_cells,target_noise,-0.0006581326130967643,missing_cells+target_noise
diabetes__forest,feature_noise,duplicate_rows,-0.0008525004613987492,feature_noise+duplicate_rows
diabetes__forest,feature_noise,target_noise,-0.003108183510743675,feature_noise+target_noise
synthetic_nonlinear__logistic,feature_noise,target_noise,0.005761316872427988,feature_noise+target_noise
synthetic_nonlinear__logistic,missing_cells,duplicate_rows,0.0011316872427983384,missing_cells+duplicate_rows
synthetic_nonlinear__logistic,target_noise,duplicate_rows,0.0008230452674897562,target_noise+duplicate_rows
synthetic_nonlinear__logistic,missing_cells,target_noise,-0.00041152263374482257,missing_cells+target_noise
synthetic_nonlinear__logistic,missing_cells,feature_noise,-0.0013374485596707917,missing_cells+feature_noise
synthetic_nonlinear__logistic,feature_noise,duplicate_rows,-0.004115226337448531,feature_noise+duplicate_rows
synthetic_nonlinear__forest,missing_cells,duplicate_rows,-0.000617283950617294,missing_cells+duplicate_rows
synthetic_nonlinear__forest,feature_noise,duplicate_rows,-0.000771604938271562,feature_noise+duplicate_rows
synthetic_nonlinear__forest,target_noise,duplicate_rows,-0.002314814814814816,target_noise+duplicate_rows
synthetic_nonlinear__forest,missing_cells,target_noise,-0.005864197530864179,missing_cells+target_noise
synthetic_nonlinear__forest,missing_cells,feature_noise,-0.007407407407407311,missing_cells+feature_noise
synthetic_nonlinear__forest,feature_noise,target_noise,-0.016512345679012306,feature_noise+target_noise
